P0,0,0,0
P1,0,0,0
P2,0,0,0
P3,0,0,0
P4,0,0,0
P5,0,0,0
P6,0,0,0
P7,0,0,0
P8,0.19940179461615154,2,0.029425075895483654
P9,0,0,0
P10,0,0,0
P11,0,0,0
P12,0,0,0
P13,0,0,0
P14,0,0,0
P15,0.39888312724371755,2,0.031982234148270686
P16,0.24937655860349126,1,0
P17,0.16616816218012628,1,0.015991117074135343
P18,0,0,0
P19,0.3325573661456601,1,0
P20,0,0,0
P21,0,0,0
P22,0,0,0
P23,0,0,0
P24,0,0,0
P25,0,0,0
P26,0,0,0
P27,0,0,0
P28,0,0,0
P29,0.24922118380062305,2,0.031982234148270686
P30,0,0,0
P31,0,0,0
P32,0,0,0
P33,0,0,0
P34,0.6651147322913202,2,0
P35,0.33277870216306155,1,0
P36,0.4987531172069825,1,0
P37,0,0,0
P38,0,0,0
P39,0,0,0
P40,0,0,0
P41,0,0,0
P42,0,0,0
P43,0,0,0
P44,1.002004008016032,1,0
P45,0,0,0
P46,0,0,0
P47,0.3322627090486211,3,0.031982234148270686
P48,0,0,0
P49,1,1,0
